data;inadimplencia_total;inadimplencia_pf;inadimplencia_pj;taxa_juros_pf;taxa_juros_pj;saldo_carteira_milhoes
2015-01-01;2,85;2,02;3,78;31,39;38,32;52,1
2015-02-01;2,89;2,03;3,85;32,23;39,77;52,2
2015-03-01;2,85;2,1;3,71;32,51;39,94;52,5
2015-04-01;2,99;2,28;3,79;33,25;40,91;52,33
2015-05-01;3,06;2,31;3,89;34,19;41,79;52,6
2015-06-01;2,96;2,3;3,7;34,88;42,6;52,63
2015-07-01;3,07;2,41;3,81;35,82;43,54;52,6
2015-08-01;3,16;2,48;3,92;36,37;44,5;52,87
2015-09-01;3,16;2,43;3,99;36,86;45,56;53,3
2015-10-01;3,28;2,53;4,12;37,91;46,83;53,07
2015-11-01;3,42;2,68;4,24;38,26;47,42;53,27
2015-12-01;3,42;2,66;4,27;37,37;46,3;53,85
2016-01-01;3,52;2,77;4,34;38,87;48,78;53,41
2016-02-01;3,55;2,83;4,35;39,47;49,88;52,95
2016-03-01;3,58;2,9;4,3;40,19;50,07;52,48
2016-04-01;3,71;3,1;4,35;41,03;51,21;51,95
2016-05-01;3,79;3,24;4,37;41,4;51,12;51,85
2016-06-01;3,57;3,06;4,1;41,06;50,93;51,3
2016-07-01;3,61;3,09;4,15;41,33;51,6;50,96
2016-08-01;3,69;3,23;4,17;41,43;52,1;50,7
2016-09-01;3,74;3,25;4,23;42,06;52,43;50,44
2016-10-01;3,9;3,58;4,23;42,25;53,06;50,03
2016-11-01;3,86;3,56;4,15;42,29;52,95;49,92
2016-12-01;3,75;3,5;4,0;41,2;50,99;49,71
2017-01-01;3,79;3,53;4,04;41,43;52,0;48,96
2017-02-01;3,82;3,57;4,06;40,73;52,2;48,76
2017-03-01;3,91;3,76;4,06;40,61;51,23;48,62
2017-04-01;4,0;3,89;4,09;37,84;48,3;48,36
2017-05-01;4,11;4,06;4,16;36,0;45,82;48,01
2017-06-01;3,8;3,68;3,91;35,8;45,48;48,05
2017-07-01;3,75;3,47;4,01;36,35;46,52;47,47
2017-08-01;3,76;3,52;3,99;35,53;45,59;47,26
2017-09-01;3,66;3,36;3,93;33,58;42,93;47,12
2017-10-01;3,69;3,42;3,93;33,85;43,24;46,99
2017-11-01;3,6;3,34;3,83;33,19;42,58;46,96
2017-12-01;3,29;2,97;3,58;31,57;40,01;47,12
2018-01-01;3,48;3,13;3,78;31,89;40,73;46,45
2018-02-01;3,49;3,17;3,76;32,79;41,71;46,14
2018-03-01;3,35;2,94;3,7;32,54;40,99;46,25
2018-04-01;3,38;3,03;3,68;32,49;40,63;46,05
2018-05-01;3,37;3,04;3,64;30,91;38,76;46,16
2018-06-01;3,11;2,61;3,52;30,48;38,06;46,19
2018-07-01;3,08;2,51;3,56;30,0;37,66;45,83
2018-08-01;3,1;2,56;3,55;29,86;37,49;46,0
2018-09-01;3,11;2,66;3,47;29,8;37,47;46,01
2018-10-01;3,11;2,72;3,43;29,95;37,64;45,66
2018-11-01;3,02;2,61;3,35;29,99;37,52;45,99
2018-12-01;2,93;2,47;3,3;28,63;35,18;46,59
2019-01-01;3,01;2,53;3,39;29,99;37,15;46,03
2019-02-01;2,96;2,46;3,35;30,62;37,93;45,94
2019-03-01;3,04;2,55;3,41;31,09;38,31;46,22
2019-04-01;3,07;2,63;3,41;31,09;38,29;46,05
2019-05-01;3,1;2,63;3,46;30,94;37,86;45,97
2019-06-01;2,99;2,45;3,4;31,1;37,58;46,03
2019-07-01;3,1;2,57;3,49;30,8;37,37;45,7
2019-08-01;3,1;2,51;3,53;30,93;37,16;46,01
2019-09-01;3,11;2,45;3,6;30,22;35,98;46,24
2019-10-01;3,09;2,41;3,58;29,45;35,18;46,17
2019-11-01;3,06;2,33;3,59;29,71;35,49;46,56
2019-12-01;2,99;2,21;3,56;28,28;33,27;47,04
